keys,ko,en
TOAST_LOADED,재장전 완료,
TOAST_UPGRADE,영혼에 힘을 새겼습니다,
TOAST_MILESTONE,원정 기록이 갱신되었습니다 · J로 확인,
TOAST_ELEMENT,열충격 · 얼음과 불꽃이 충돌했습니다,
TOAST_DETECTION,감시자가 영혼을 감지합니다,
TOAST_START,WASD 이동 · 좌클릭 약화 · 우클릭 빙의,
TOAST_COMBAT,전투 시작,
TOAST_LEVEL,성장 획득 · 방 정리 후 선택,
TOAST_BOSS,공격 예고 · 붉은 표시를 피하세요,
EFFECT_AMBUSH,첫 공격 +%d%%,
EFFECT_VIGOR,몸 수명 +%d%%,
EFFECT_MERCY,빙의 +%d%%p,
EFFECT_CURSE,유령탄 +%d%%,
EFFECT_ROT,부패 공격 최대 +%d%%,
EFFECT_FUNERAL,폭발 +%d%% · 범위 +%d%%,
TARGET,빙의 %d%%,
TARGET_STATUS_FIRE,화상,
TARGET_STATUS_ICE,둔화,
DATA_913E19C5A5,연발병,
DATA_A57B610438,연발총,
DATA_2F11F8686A,연속 사격 · 오래 쏘면 탄이 퍼집니다,
DATA_0184A249F7,망치병,
DATA_C985070FD1,대형 망치,
DATA_8727D2ACD0,근접 광역 강타 · 밀쳐내기,
DATA_2640815A99,산탄병,
DATA_9EB787E16E,쌍열 산탄총,
DATA_46CE4AF7D3,가까이 붙어 한 방 · 6발의 산탄,
DATA_5C6127F24C,서리 궁수,
DATA_128D0EAC6A,서리 활,
DATA_B8C57C295D,좌클릭 유지 후 놓기 · 적을 느리게 합니다,
DATA_DB2D3CAD7C,화염 술사,
DATA_B0C495A958,화염구,
DATA_031D1E4FEF,폭발과 화상 · 얼어붙은 적에게 열충격,
DATA_ACD2267448,번개 술사,
DATA_70813B2389,연쇄 번개,
DATA_0D8855F2A4,가까이 모인 적에게 번개가 이어집니다,
DATA_D061CB8BAE,묘지기,
DATA_117702EF1A,"중간 보스의 몸. 피해 +40%, 수명 +60%. 이동 -15%.",
DATA_5545FEAFB7,공허의 군주,
DATA_CECC52CD1F,"최종 보스의 몸. 피해 +80%, 수명 +100%. 이동 -20%.",
DATA_AEF1A1E70E,일반,
DATA_4E8EF53F26,특별한 특성 없이 균형 잡힌 몸.,
DATA_1156922519,날렵한,
DATA_899C5AAFE5,"이동 +20%, 재장전 +20%. 몸의 수명 -20%.",
DATA_FA257D42A0,보존된,
DATA_63260AB21C,몸의 수명 +30%. 이동 -15%.,
DATA_4E666FFE77,흉포한,
DATA_B8A008D13B,"공격 속도 +25%. 반동 +50%, 몸의 수명 -10%.",
DATA_491836FB4F,영혼 감시자,
DATA_93D6A20DBD,적일 때 위장을 탐지. 빙의하면 벽 너머 영혼 감지와 빙의 +8%p. 이동 -10%.,
DATA_877814D05B,첫 공격 강화,
DATA_02278C3B02,몸의 무기,
DATA_30EEC9B2AD,"빙의 후 위장을 깨는 첫 공격이 강해집니다.
새 몸마다 한 번. 빗나가도 소모됩니다.",
DATA_F00986F278,몸 수명 증가,
DATA_BD7853F675,몸 유지,
DATA_308D7C4714,"빌린 몸을 더 오래 사용할 수 있습니다.
현재 몸에도 적용. 유령의 20초는 그대로입니다.",
DATA_644445B3BA,빙의 확률 증가,
DATA_6095AF9B41,우클릭 빙의,
DATA_7F2CC8F0F0,"같은 체력의 적에게 빙의하기 쉬워집니다.
특별 개체에도 적용. 최대 확률은 95%입니다.",
DATA_5D8DA18D43,유령탄 강화,
DATA_C15A0ED20C,유령의 좌클릭,
DATA_71E4D53F09,"몸이 없을 때 쏘는 탄환이 강해집니다.
적의 체력을 더 빨리 깎아 빙의를 준비합니다.",
DATA_BDD1FA573D,부패 공격 강화,
DATA_A42A7EF23C,"몸의 남은 시간이 적을수록 강해집니다.
새 몸에서는 0%, 시간이 줄며 점점 증가합니다.",
DATA_7A90FA0685,몸 폭발 강화,
DATA_372C83AA8D,수명 종료,
DATA_CEACA35A73,"몸의 시간이 다 됐을 때 폭발이 강해집니다.
E로 직접 나오거나 갈아탈 때는 폭발하지 않습니다.",
DATA_A0DAA373C4,첫 공격 +%d%%,
DATA_42BFCDD427,몸 수명 +%d%%,
DATA_27F0BF7EF4,빙의 +%d%%p,
DATA_288CB29ECB,저주탄 +%d%%,
DATA_A48C1EBA13,부패 공격 최대 +%d%%,
DATA_4105B38D3A,폭발 +%d%% · 범위 +%d%%,
DATA_CA6A49A1FE,"기본 피해 20인 몸의 첫 공격
%.0f → %.0f 피해",
DATA_143157A0EF,"기본 수명 25초인 몸
%.0f → %.0f초 (남은 비율 유지)",
DATA_D410C8C9CA,"증강 전 확률이 50%%인 적
%d%% → %d%%",
DATA_B12129A326,"유령탄 한 발 피해
%.1f → %.1f",
DATA_849C402F0D,"몸 수명의 절반이 남았을 때
추가 피해 %.1f%% → %.1f%%",
DATA_215416D262,"폭발 피해 %.0f → %.0f
반경 %.2fm → %.2fm",
DATA_400A5D85A0,영혼 나침반,
DATA_AC1703DCFA,빙의 확률 +5%p (최대 95%),
DATA_CDA84CCCB9,멈춘 모래시계,
DATA_643EF4A521,새로 빌리는 모든 몸의 최대 수명 +6초,
DATA_A4C3721A94,메아리 불씨,
DATA_45F11B7F89,공격 적중 시 4m 내 다른 적 하나에 피해 20% 전이 · 0.7초 간격,
DATA_EFF4158B2B,연쇄 잠입,
DATA_0F32AB5700,첫 공격 강화 + 빙의 확률 증가,
DATA_8DEA6EF201,빙의 확률 추가 +12%p,
DATA_2F6B2BB8CE,썩지 않는 분노,
DATA_24AAF4E976,몸 수명 증가 + 부패 공격 강화,
DATA_A2F21A7ACA,몸 피격으로 잃는 수명 30% 감소,
DATA_2E92A44F72,불사조의 장례,
DATA_02FEA80716,유령탄 강화 + 몸 폭발 강화,
DATA_1A520D2539,E로 직접 이탈해도 강화된 폭발 발생,
DATA_C4D71626E8,깨어나는 방,
DATA_0EDFE0C96D,잊힌 회랑,
DATA_58E239B170,감시자의 묘실,
DATA_93CC7C811D,중간 보스 · 묘지기,
DATA_A3BE93F7CB,최종 보스 · 공허의 군주,
DATA_EF6E470853,시련의 보물고,
DATA_97929B293C,순례자의 회랑,
DATA_3928318A52,경로 선택: ,
DATA_1C751F2DCA,시련의 보물고 · 적 강화 / 추가 증강,
DATA_FA6035090F,순례자의 회랑 · 입장 시 시간 회복,
DATA_3CBF86CFF1,증원 도착 · %d / %d차 전투,
DATA_8D3143A1AF,빌드 성장 완료 · 잔향 공격력 +%d%%,
DATA_E7AD47D3A7,서로 다른 적에게 8회 빙의,
DATA_10B1845275,특별 개체 4명 처치 또는 빙의,
DATA_A947681AEE,적 10명 직접 처치,
DATA_359479E563,의뢰 완료! ,
DATA_024F98B302, · 유물 획득,
DATA_E84717DEAB,유물 수집 완료 · 추가 증강 획득,
DATA_6C948F8CC0,유물 발견 · ,
DATA_C7BA1561C1,조합 완성! ,
DATA_68E06972B8,보스의 의지 · 체력을 20% 이하로 낮추면 빙의 가능,
TAB_SETTINGS,설정,
SETTING_SENSITIVITY,마우스 감도,
SETTING_VOLUME,효과음 크기,
SETTING_FULLSCREEN,전체 화면,
SETTING_RESOLUTION,창 크기,
SETTING_INVERT_Y,마우스 상하 반전,
SETTING_VSYNC,수직 동기화,
SETTING_ON,켜짐,
SETTING_OFF,꺼짐,
SETTING_RESET,기본값으로 복원,
SETTING_SAVED,변경한 설정은 바로 적용되며 다음 실행에도 유지됩니다.,
SETTING_SAVE_ERROR,설정을 저장하지 못했습니다. 이번 실행에만 적용됩니다.,
BIND_FORWARD,앞으로 이동,
BIND_BACK,뒤로 이동,
BIND_LEFT,왼쪽으로 이동,
BIND_RIGHT,오른쪽으로 이동,
BIND_INTERACT,상호작용,
BIND_RELOAD,재장전,
BIND_EJECT,몸에서 나오기,
BIND_DASH,회피 돌진,
BIND_JUMP,점프,
BIND_WAIT,새 키 입력 · Esc 취소,
BIND_RESET,조작 키 기본값 복원,
BIND_HELP,버튼을 눌러 키를 바꿉니다. 좌클릭 공격 · 우클릭 빙의 · Esc 일시정지 · J 기록 · M 음소거. 메뉴의 Enter / Tab / R / 1~3은 고정입니다.,
BIND_CONFLICT,이미 사용 중이거나 메뉴에서 사용하는 키입니다. 다른 키를 누르거나 Esc로 취소하세요.,
TAB_RECORDS,지난 원정,
RECORD_EMPTY,아직 기록이 없습니다. 원정을 마치면 여기에 남습니다.,
RECORD_ROW,%d. %s · %s · %d구역  /  처치 %d · 빙의 %d  /  %d분 %02d초,
RECORD_CLEAR,완료,
RECORD_DEAD,소멸,
RECORD_NOTE,최근 20판을 저장하며 이 화면에는 최신 8판을 표시합니다. 연습과 종료하지 않은 원정은 기록하지 않습니다.,
RECORD_SAVE_ERROR,원정 기록을 저장하지 못했습니다. 이번 실행에서만 확인할 수 있습니다.,
